timestamp,vehicle_speed,target_speed,throttle,brake,steering,nearest_obstacle_m,ttc,safety_state,detections,fps
09:33:42,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.6
09:33:42,0.00,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.6
09:33:42,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.6
09:33:43,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.6
09:33:43,0.02,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.6
09:33:43,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,26.2
09:33:43,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,26.2
09:33:43,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,26.2
09:33:44,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,26.2
09:33:44,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,26.2
09:33:44,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,26.8
09:33:44,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,26.8
09:33:44,0.00,30.00,1.000,0.000,-1.000,,,CLEAR,0,26.8
09:33:44,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,26.8
09:33:45,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,26.8
09:33:45,0.03,30.00,1.000,0.000,-1.000,,,CLEAR,0,26.8
09:33:45,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,26.6
09:33:45,0.00,30.00,1.000,0.000,-1.000,,,CLEAR,0,26.6
09:33:45,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,26.6
09:33:46,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,26.6
09:33:46,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,26.6
09:33:46,0.02,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.8
09:33:46,0.02,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.8
09:33:46,0.02,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.8
09:33:46,0.00,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.8
09:33:47,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.8
09:33:47,0.00,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.8
09:33:47,0.00,30.00,1.000,0.000,-1.000,,,CLEAR,0,26.9
09:33:47,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,26.9
09:33:47,0.02,30.00,1.000,0.000,-1.000,,,CLEAR,0,26.9
09:33:48,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,26.9
09:33:48,0.00,30.00,1.000,0.000,-1.000,,,CLEAR,0,26.9
09:33:48,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.4
09:33:48,0.03,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.4
09:33:48,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.4
09:33:48,0.00,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.4
09:33:49,0.02,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.4
09:33:49,0.02,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.4
09:33:49,0.03,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.6
09:33:49,0.02,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.6
09:33:49,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.6
09:33:50,0.00,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.6
09:33:50,0.00,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.6
09:33:50,0.00,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.6
09:33:50,0.02,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.6
09:33:50,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.6
09:33:50,0.00,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.6
09:33:51,0.02,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.6
09:33:51,0.02,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.6
09:33:51,0.04,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.7
09:33:51,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.7
09:33:51,0.03,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.7
09:33:52,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.7
09:33:52,0.03,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.7
09:33:52,0.02,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.7
09:33:52,0.02,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.3
09:33:52,0.00,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.3
09:33:52,0.02,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.3
09:33:53,0.02,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.3
09:33:53,0.03,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.3
09:33:53,0.02,30.00,1.000,0.000,-1.000,,,CLEAR,0,26.6
09:33:53,0.00,30.00,1.000,0.000,-1.000,,,CLEAR,0,26.6
09:33:53,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,26.6
09:33:54,0.02,30.00,1.000,0.000,-1.000,,,CLEAR,0,26.6
09:33:54,0.00,30.00,1.000,0.000,-1.000,,,CLEAR,0,26.6
09:33:54,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,26.6
09:33:54,0.03,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.0
09:33:54,0.05,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.0
09:33:55,0.02,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.0
09:33:55,0.02,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.0
09:33:55,0.03,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.0
09:33:55,0.02,30.00,1.000,0.000,-1.000,,,CLEAR,0,26.2
09:33:55,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,26.2
09:33:55,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,26.2
09:33:56,0.00,30.00,1.000,0.000,-1.000,,,CLEAR,0,26.2
09:33:56,0.00,30.00,1.000,0.000,-1.000,,,CLEAR,0,26.2
09:33:56,0.02,30.00,1.000,0.000,-1.000,,,CLEAR,0,26.2
09:33:56,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.3
09:33:56,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.3
09:33:57,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.3
09:33:57,0.00,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.3
09:33:57,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.3
09:33:57,0.02,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.8
09:33:57,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.8
09:33:57,0.02,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.8
09:33:58,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.8
09:33:58,0.02,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.8
09:33:58,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.8
09:33:58,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.0
09:33:58,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.0
09:33:59,0.04,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.0
09:33:59,0.02,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.0
09:33:59,0.00,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.0
09:33:59,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.2
09:33:59,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.2
09:33:59,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.2
09:34:00,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.2
09:34:00,0.03,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.2
09:34:00,0.00,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.2
09:34:00,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.5
09:34:00,0.02,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.5
09:34:01,0.02,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.5
09:34:01,0.03,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.5
09:34:01,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.5
09:34:01,0.02,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.4
09:34:01,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.4
09:34:02,0.02,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.4
09:34:02,0.03,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.4
09:34:02,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.4
09:34:02,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.4
09:34:02,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.9
09:34:02,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.9
09:34:03,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.9
09:34:03,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.9
09:34:03,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.9
09:34:03,0.04,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.9
09:34:03,0.05,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.6
09:34:03,0.00,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.6
09:34:04,0.00,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.6
09:34:04,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.6
09:34:04,0.02,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.6
09:34:04,0.00,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.6
09:34:04,0.00,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.6
09:34:05,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.6
09:34:05,0.02,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.6
09:34:05,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.6
09:34:05,0.00,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.6
09:34:05,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.5
09:34:05,0.00,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.5
09:34:06,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.5
09:34:06,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.5
09:34:06,0.03,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.5
09:34:06,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.7
09:34:06,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.7
09:34:07,0.02,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.7
09:34:07,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.7
09:34:07,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.7
09:34:07,0.02,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.7
09:34:07,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.6
09:34:07,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.6
09:34:08,0.05,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.6
09:34:08,0.02,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.6
09:34:08,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.6
09:34:08,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.6
09:34:08,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.9
09:34:09,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.9
09:34:09,0.00,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.9
09:34:09,0.05,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.9
09:34:09,0.00,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.9
09:34:09,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.4
09:34:09,0.02,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.4
09:34:10,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.4
09:34:10,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.4
09:34:10,0.02,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.4
09:34:10,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.4
09:34:10,0.02,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.7
09:34:11,0.02,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.7
09:34:11,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.7
09:34:11,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.7
09:34:11,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.7
09:34:11,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.4
09:34:11,0.00,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.4
09:34:12,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.4
09:34:12,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.4
09:34:12,0.02,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.4
09:34:12,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.4
09:34:12,0.03,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.1
09:34:13,0.00,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.1
09:34:13,0.02,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.1
09:34:13,0.03,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.1
09:34:13,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.1
09:34:13,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.1
09:34:13,0.00,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.5
09:34:14,0.00,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.5
09:34:14,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.5
09:34:14,0.04,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.5
09:34:14,0.00,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.5
09:34:14,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.4
09:34:15,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.4
09:34:15,0.02,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.4
09:34:15,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.4
09:34:15,0.00,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.4
09:34:15,0.02,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.4
09:34:16,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,26.1
09:34:16,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,26.1
09:34:16,0.04,30.00,1.000,0.000,-1.000,,,CLEAR,0,26.1
09:34:16,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,26.1
09:34:16,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,26.1
09:34:17,0.03,30.00,1.000,0.000,-1.000,,,CLEAR,0,25.5
09:34:17,0.02,30.00,1.000,0.000,-1.000,,,CLEAR,0,25.5
09:34:17,0.00,30.00,1.000,0.000,-1.000,,,CLEAR,0,25.5
09:34:17,0.04,30.00,1.000,0.000,-1.000,,,CLEAR,0,25.5
09:34:17,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,25.5
09:34:18,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,25.1
09:34:18,0.02,30.00,1.000,0.000,-1.000,,,CLEAR,0,25.1
09:34:18,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,25.1
09:34:18,0.04,30.00,1.000,0.000,-1.000,,,CLEAR,0,25.1
09:34:18,0.00,30.00,1.000,0.000,-1.000,,,CLEAR,0,25.1
09:34:18,0.00,30.00,1.000,0.000,-1.000,,,CLEAR,0,25.1
09:34:19,0.00,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.2
09:34:19,0.00,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.2
09:34:19,0.04,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.2
09:34:19,0.00,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.2
09:34:19,0.00,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.2
09:34:20,0.00,30.00,1.000,0.000,-1.000,,,CLEAR,0,26.9
